calendar_year,release_date,release_version,event_type,item_name,class,dlc_or_free,baseline_sheet_status,curated_status,observed_simhub_status,control_research_status,remaining_unknowns,recommended_action,promotion_status,promoted_record_id,official_source_url
2025,2025-10-31,1.6.8.5,added,Milano GT36 GT2,2005 GT2,Free base-game content,none,none,review_candidate_only,unresolved-fictional-model,"This appears to be a fictional/unlicensed identity, so no model-exact real-world control source was found. | All core control fields require AMS2 observation.",review_suggested_mapping_without_fuzzy_promotion,approved,ams2.milano-gt36,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Porsche 996 RSR,2005 GT2,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,useful-control-specific-secondary,Actuation type | Start clutch and downshift technique | Wheel category,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.porsche-996-gt3-rsr,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-12-23,1.6.9.0,added,Aston Martin Valkyrie,Hypercars,Supercars Pt2 DLC (holiday free trial at launch),none,none,not_observed,strong-transmission-partial-wheel,Paddle-control confirmation and wheel category,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.aston-martin-valkyrie,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
2025,2025-12-23,1.6.9.0,added,Audi R8 V10 GT,Supercars,Supercars Pt2 DLC (holiday free trial at launch),none,none,not_observed,strong-control-source,Wheel category and simulator mode behavior,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.audi-r8-v10-gt,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
2025,2025-12-23,1.6.9.0,added,Dodge Viper ACR,Supercars,Supercars Pt2 DLC (holiday free trial at launch),none,none,not_observed,strong-transmission-partial-technique,Wheel category and whether AMS2 models electronic skip-shift | Technique wording,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.dodge-viper-acr,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
2025,2025-12-23,1.6.9.0,renamed,F-Hybrid Gen2,F-Hybrid Gen2,Free base-game update,review_candidate_only,predecessor_record_for_review,review_candidate_only,,,update_existing_class_or_identity_label_after_review_not_new_record,approved,ams2.formula-ultimate-2019,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
2025,2025-12-23,1.6.9.0,renamed,F-Hybrid Gen3,F-Hybrid Gen3,Free base-game update,review_candidate_only,renamed_existing_record,review_candidate_only,,,update_existing_class_or_identity_label_after_review_not_new_record,approved,ams2.formula-ultimate-2022,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
2025,2025-12-23,1.6.9.0,renamed,F-V8 Gen3,F-V8 Gen3,Free base-game update,review_candidate_only,renamed_existing_record,review_candidate_only,,,update_existing_class_or_identity_label_after_review_not_new_record,approved,ams2.formula-reiza,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
2025,2025-12-23,1.6.9.0,added,Maserati GT2 Stradale,Supercars,Supercars Pt2 DLC (holiday free trial at launch),none,none,not_observed,strong-control-source,Whether to categorize the road wheel as round or GT-style in this project,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.maserati-gt2-stradale,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
2025,2025-12-23,1.6.9.0,added,Stock USA Gen1,Stock USA Gen1,Racin' USA Expansion Pack bonus content (holiday free trial at launch),none,none,review_candidate_only,mapping-unresolved,Exact historical mapping | All control fields,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.stock-usa-gen1,https://forum.reizastudios.com/threads/automobilista-2-v1-6-9-released-now-updated-to-v1-6-9-3.35936/
